video_id	video_title	music_title
-6lz5cswOxw	【歌ってみた】アズールレーンED/光の道標 - 鹿乃 covered by 射貫まとい × 琴みゆり【コラボ】	光の道標
AyKnKFAafyQ	【歌ってみた】だから僕は音楽を辞めた - ヨルシカ  Coverd by 琴みゆり	だから僕は音楽を辞めた
j5tFcEdF8Aw	【歌ってみた】バッドエンドの映画は嫌いなんだ / Covered by 獅子神レオナ【*Luna】	バッドエンドの映画は嫌いなんだ
OPztLbOSoRY	【歌ってみた】ポジティブ・パレード / Covered by 獅子神レオナ【DECO*27】	ポジティブ・パレード
BFBGU7kuA2I	【歌ってみた】完全感覚Dreamer / Covered by 獅子神レオナ【ONE OK ROCK】	完全感覚Dreamer
YErXYcv6gkQ	【FGO】Phantom Joke - UNISON SQUARE GARDEN/Covered by 獅子神レオナ【歌ってみた】	Phantom Joke
1EZPshZYjsY	【歌ってみた】ハルノヒ Covered by 獅子神レオナ【あいみょん 】	ハルノヒ
amEdDipl8Hk	【歌ってみた】世界の真ん中を歩く Covered by 獅子神レオナ【夏代孝明】	世界の真ん中を歩く
bFmYvvksa54	【歌ってみた】Pretender - Official髭男dism/Covered by 獅子神レオナ	Pretender
pFbOwp3CEFw	【歌ってみた】キミがいる - アリエP/Covered by ちーむきゅーてぃくる	キミがいる
Tt1NBMPJ2Zk	【歌ってみた】CHEERS - Mrs. GREEN APPLE/Covered by 獅子神レオナ	CHEERS
dXrV8OPngxo	【歌ってみた】空の青さを知る人よ- あいみょん / coverd by 獅子神レオナ【空青】	空の青さを知る人よ
QdXjjx_ETb8	【歌ってみた】オリオンをなぞる - UNISON SQUARE GARDEN /Covered by 獅子神レオナ【TIGER & BUNNY】	オリオンをなぞる
hX5zVT1izAE	【歌ってみた】グランドエスケープ - RADWIMPS/Covered by 獅子神レオナ&唯牙コハク【天気の子】	グランドエスケープ
vKokred7qOo	【歌ってみた】手をたたけ/NICO Touches the Walls - Covered by 獅子神レオナ	手をたたけ
Q9VAFK0_8bU	【歌ってみた】カロン/ねごと - covered by 獅子神レオナ	カロン
TW0v7C7ukVI	【歌ってみた】ぼくも傘がない/ぼっちぼろまる - covered by 獅子神レオナ	ぼくも傘がない
tUfAIJn3WWA	【NARUTO-ナルト-疾風伝】シルエット/KANA-BOON  covered by 獅子神レオナ【歌ってみた】	シルエット
BN_jH5KF1Yk	【急上昇ガールズ】Q&Aリサイタル！ - 多々星シエル × 獅子神レオナ × 夜霧メイ【VTuber】	Q&Aリサイタル！
olrv9H8mlGg	【一周年記念】歌に形はないけれど/doriko -  covered by 獅子神レオナ【歌ってみた】	歌に形はないけれど
vjE7KJ2RmTQ	【ハイキュー!!】イマジネーション/SPYAIR covered by 獅子神レオナ【歌ってみた】	イマジネーション
TOPozTA7jrE	【天気の子】愛にできることはまだあるかい/RADWIMPS(cover)【獅子神レオナ】歌ってみた	愛にできることはまだあるかい
ciyhwOcqMDc	【歌ってみた】PinocchioP - SLoWMoTIoN /ピノキオピー - すろぉもぉしょん covered by 獅子神レオナ	すろぉもぉしょん
1gJyLasgHxY	【歌ってみた】ダンスロボットダンス Covered by 皇噛ユカリ＆獅子神レオナ	ダンスロボットダンス
MaD72xh_tCk	君の知らない物語 Arrange ver. 歌ってみた - 獅子神レオナ【化物語ED/supercell】	君の知らない物語
Yf_r8rCvSGc	ハングリーモンスター / hungry monster - TOKOTOKO（西沢さんP）covered by 獅子神レオナ	ハングリーモンスター
ZzWQbqWZT5Q	「ピースサイン」獅子神レオナ / Peace Sign【歌ってみた】TVアニメ「僕のヒーローアカデミア」OP	ピースサイン
dsaLD_2C4Gg	コレサワ/みゆはん「恋人失格」Covered by 獅子神レオナ 【歌ってみた】	恋人失格
LaD5Uvvb_1Q	「海の幽霊」Spirits of the Sea / 米津玄師  - covered by 獅子神レオナ【歌ってみた】映画「海獣の子供」主題歌	海の幽霊
rYQzWJ8DrrQ	【鬼滅の刃】LiSA - 紅蓮華  / 獅子神レオナ【歌ってみた】Demon Slayer Kimetsu no Yaiba Opening	紅蓮華
LatVcl7TkRo	ヨルシカ - だから僕は音楽を辞めた / Covered by 獅子神レオナ	だから僕は音楽を辞めた
a_0_Fe84fyU	【歌ってみた】魔法possibility ／ 獅子神レオナ【VTuber】	魔法possibility
8Gx30E8CNsk	獅子神レオナ - Buraikku Jikorizer / 無頼ック自己ライザー 歌ってみた	無頼ック自己ライザー
2TKu32mgwq8	ヨルシカ - ヒッチコック covered by 獅子神レオナ【歌ってみた】	ヒッチコック
JkfWp4focFU	【リアクト女子4人で】ガールズトーク【歌ってみた】	ガールズトーク
VpGliuGm9Q4	【歌ってみた】Not A Hero／獅子神レオナ【Vtuber】	Not A Hero
PwMZhdyZHVI	【wowaka】アンノウン・マザーグース／歌ってみた【花鋏キョウ＆獅子神レオナ＆流石乃ルキ＆流石乃ロキ】	アンノウン・マザーグース
n3FsBSLibsI	「glow」歌ってみた【獅子神レオナ】	glow
0UNOO_50Y8Q	君はロックを聴かない ／ あいみょん(cover) by 獅子神レオナ	君はロックを聴かない
iwFXWBZ1cEI	【歌ってみた】フィクサー／獅子神レオナ【Vtuber】	フィクサー
6tJo5NWpdMQ	【歌ってみた】夢ファンファーレ - 丑牡てぃあ × 獅子神レオナ	夢ファンファーレ
6lM31jEl568	【歌ってみた】on the rocks 【唯牙コハク×獅子神レオナ】	on the rocks
Inbifi8dDMw	【OBK‘S】神のまにまに【歌ってみた】	神のまにまに
_m6ylUQ9_nQ	【マクロスΔ】いけないボーダーライン / vo.獅子神レオナ & 水瓶ミア【歌ってみた】	いけないボーダーライン
k85XEb9j-mw	【UNISON SQUARE GARDEN】シュガーソングとビターステップ / vo.獅子神レオナ【歌ってみた 】	シュガーソングとビターステップ
W5eCr-_rl9I	【コレサワ】たばこ / vo.獅子神レオナ【歌ってみた】	たばこ
BV406hFrDk8	【DECO*27】ヒバナ / vo.獅子神レオナ【歌ってみた】	ヒバナ
mMYaDs75Z2E	【ONE OK ROCK】Wherever you are / vo.獅子神レオナ【歌ってみた】	Wherever you are
d2HPMxnK2x4	【OBK‘S】好き！雪！本気マジック【歌ってみた】	好き！雪！本気マジック
ftk4DxmmIBY	【back number】クリスマスソング / vo.獅子神レオナ【歌ってみた】	クリスマスソング
kNQePK_J9rs	【あいみょん】愛を伝えたいだとか / vo.獅子神レオナ【歌ってみた】	愛を伝えたいだとか
T9s6NRLezDc	【ソロで】灰色と青 / vo.獅子神レオナ【歌ってみた】	灰色と青
IYfEhy3HEjQ	【歌ってみた】告白予行練習 / vo.獅子神レオナ【VTuber】	告白予行練習
ZTQLWq8BYP8	【歌ってみた】劣等上等 Giga / 水瓶ミア×獅子神レオナ【VTuber】	劣等上等
WoLWZ3wmSoY	【歌ってみた】チェチェ・チェック・ワンツー / vo.獅子神レオナ【VTuber】	チェチェ・チェック・ワンツー
n6jW9CGlD4A	【女性が歌う】TEENAGE RIOT（米津玄師） / vo.獅子神レオナ / 『GATSBY COP』CMソング【VTuber】	TEENAGE RIOT
ZS-rrnpB10E	【本気のバラード】ラプンツェル / 獅子神レオナ【歌ってみた】	ラプンツェル
4lESqW6hZ0k	【女性が歌う】Flamingo（米津玄師）/ vo.獅子神レオナ【VTuber】	Flamingo
5g4jAgRkvvA	【歌ってみた】ラズベリー＊モンスター/ vo.獅子神レオナ 【VTuber】	ラズベリー＊モンスター
rPH1iiYvKaI	【歌ってみた】unlasting / Covered by 花鋏キョウ【LiSA】	unlasting
az3ZDkHezEk	【歌ってみた】Gimme×Gimme / Covered by 花鋏キョウ×獅子神レオナ【八王子P × Giga】	Gimme×Gimme
c5HY1mf_cUU	【歌ってみた】Nanairo night / Covered by 花鋏キョウ【supercell】	Nanairo night
UYPJGCQU_v0	【歌ってみた】名前のない怪物 Covered by 花鋏キョウ【EGOIST】	名前のない怪物
y2y4_Yx3JXg	【歌ってみた】Q-vism - Who-ya Extended/Covered by 花鋏キョウ【PSYCHO-PASS サイコパス3 OP】	Q-vism
NUa4VJFvtKg	【歌ってみた】Rumor ルーマー - ポリスピカデリー /Covered by 花鋏キョウ	Rumor ルーマー
CQOwANEuYyo	【歌ってみた】My Dearest - supercell/Covered by 花鋏キョウ	My Dearest
3yhK6BG78vU	【歌ってみた】lili. - 有機酸 ewe /Covered by 花鋏キョウ	lili.
R291NsfM1G0	【歌ってみた】flos - R Sound Design/Covered by 花鋏キョウ	flos
yFj9Gjr3SFY	【歌ってみた】ノーチラス - ヨルシカ/Covered by 花鋏キョウ	ノーチラス
eg6AwoxyKJs	【歌ってみた】馬と鹿 (Uma to Shika) - 米津玄師/Covered by 花鋏キョウ	馬と鹿
kWHPrG-ZH1w	【歌ってみた】YELLOW - 神山羊/Covered by 花鋏キョウ	YELLOW
XL5rLDFjP3g	【歌ってみた】白日 - King Gnu /Covered by 花鋏キョウ	白日
udur4LoHIfE	【天気の子】グランドエスケープ - RADWIMPS /Covered by 花鋏キョウ	グランドエスケープ
ljrGCK6n6a8	【MV】宿命/Official髭男dism『熱闘甲子園』テーマソング【花鋏キョウ】	宿命
N1A6iSEFqDA	【MV】だから僕は音楽を辞めた ／ ヨルシカ(cover) by 花鋏キョウ	だから僕は音楽を辞めた
3WLBTbX25yM	【米津玄師】「海の幽霊」Spirits of the Sea 花鋏キョウcover【映画『海獣の子供』主題歌】	海の幽霊
o7UiRM4JX1Y	魔法possibility／花鋏キョウ【歌ってみた】	魔法possibility
RbPmPKkUABg	Not A Hero／花鋏キョウ【歌ってみた】	Not A Hero
hSqSNSlK0vw	アウトサイダー／花鋏キョウ【歌ってみた】	アウトサイダー
IIRqqGthsHI	back number／HAPPY BIRTHDAY（ドラマ『初めて恋をした日に読む話』主題歌）cover by 花鋏キョウ	back number
8ehrYKvd5ag	【花鋏キョウ】I beg you / Aimer【歌ってみた】『Fate/stay night [Heaven's Feel]』	I beg you
tiwYwFmEKuI	【歌ってみた】サイレントマジョリティ ー / 欅坂46【花鋏キョウcover】	サイレントマジョリティ ー
0TfJmj-3aEo	誓い / 宇多田ヒカル（cover）花鋏キョウ【KINGDOM HEARTS III エンディングテーマ】	誓い
JOcwaqpLSWU	【supercell】さよならメモリーズ／花鋏キョウ【歌ってみた】	さよならメモリーズ
Huccgoru2n4	天体観測 / BUMP OF CHICKEN（ cover by 花鋏キョウ ）	天体観測
1FfJumM0G3M	【米津玄師】砂の惑星 feat.初音ミク/ハチ (cover) - 花鋏キョウ【歌ってみた】	砂の惑星
fiY2Dug7U-s	打上花火/DAOKO × 米津玄師(Covered by 花鋏キョウ & 夜霧メイ)	打上花火
3g-ZzwsUf48	夜もすがら君想ふ 歌ってみた【花鋏キョウ】	夜もすがら君想ふ
RnOH_kL42nI	【Eve】ラストダンス 歌ってみた【花鋏キョウ】	ラストダンス
yTek-etn_ZE	【歌ってみた】 WAVE 【花鋏キョウ】	WAVE
ubVlzwY_ZkQ	フィクサー／花鋏キョウ【歌ってみた】	フィクサー
nI-9rVc_RI8	【女性が歌う】クリスマスソング / back number (フルカバー) by 花鋏キョウ【vtuber】	クリスマスソング
AAbLoF-zc_8	夢ファンファーレ ／ 花鋏キョウ×双理マイ【歌ってみた】	夢ファンファーレ
HEql9BoUE4s	【女性が歌う】TEENAGE RIOT（米津玄師）/covered by 花鋏キョウ / 『GATSBY COP』CMソング【VTuber】	TEENAGE RIOT
S19I8ko-HUk	【女性が歌う】奏/スキマスイッチ（Cover by 花鋏キョウ）『一週間フレンズ。』主題歌	奏
DwErLL60GXk	【女性が歌う】米津玄師 「Flamingo」(Covered by 花鋏キョウ)/ソニー 完全ワイヤレスヘッドホン CMソング	Flamingo
pd9FXA5C4CU	瞬き／back number「8年越しの花嫁 奇跡の実話」主題歌(Covered by 花鋏キョウ)	瞬き
4LX0CjZsQV0	【米津玄師】Lemon／米津玄師(Covered by 花鋏キョウ)ドラマ『アンナチュラル』主題歌	Lemon
jajOPxWbpnM	【女性が歌う】じん−アディショナルメモリー/ JIN−Additional Memory(Covered by 花鋏キョウ)【歌ってみた】	アディショナルメモリー
NMdNolKVVco	廃墟の国のアリス／まふまふ feat. 初音ミク(Covered by 花鋏キョウ)【歌ってみた】	廃墟の国のアリス
TUtkwmdEXQw	ミュージックミュージックとあ feat. 初音ミク（Covered by 花鋏キョウ)【歌ってみた】	ミュージックミュージックとあ
w_i0vzngMIo	エメラルドシティ / emerald city - TOKOTOKO(西沢さんP)  feat.水瓶ミア【歌ってみた】	エメラルドシティ
A_FSgbyq2bE	【オリジナルMV】Booo! - TOKOTOKO（西沢さんP） feat.水瓶ミア【歌ってみた】	Booo!
bM_RxY48DUk	【歌って作ってみた】いーあるふぁんくらぶ　short ver.【水瓶ミア】	いーあるふぁんくらぶ
sxDsj1-8xcI	【女性が歌う】Flamingo（米津玄師）/ vo.水瓶ミア / SONY 完全ワイヤレスヘッドホン CMソング【VTuber】	Flamingo
8A1NXt4JyDg	【女性が歌う】TEENAGE RIOT（米津玄師） / vo.水瓶ミア / 『GATSBY COP』CMソング【VTuber】	TEENAGE RIOT
3OdNuJasK4s	【歌ってみた】ハートトゥハート / heart to heart  - TOKOTOKO（西沢さんP） feat.水瓶ミア	ハートトゥハート
qMYNR5MycYY	【水瓶ミア】ビースト・ダンス - 和田たけあき(くらげP) / Beast Dance - Kurage【歌ってみた】	ビースト・ダンス
